Site;Country;Biome;Lat;long;alt;MAT;Tp;Tmax;Tmin;Mta;It;Itc;P;D;;Rod_I;Rod_II;Rod_II/III;Rod_III;Rod_IV;Rod_V;Rod_VI;Rod_VII;Rod_VIII;Rod_IX;Rod_S;;EulRod_I;EulRod_II;EulRod_II/III;EulRod_III;EulRod_IV;EulRod_V;EulRod_VI;EulRod_VII;EulRod_VIII;EulRod_IX;EulRod_S
As.Suq;Saudi Arabia;3;21º09´N;42º01´E;1050;25.5;3060;33.2;16.8;16.4;591;591;105;12;;1.233333333;4.933333333;8.633333333;49.37777778;30.85555556;1.233333333;1.233333333;1.233333333;1.233333333;0;9;;1.009090909;4.036363636;7.063636364;49.49090909;27.51818182;3.281818182;3.281818182;3.281818182;1.009090909;0;11
Assuan;Egypt;3;23º58´N;33º40´E;194;26.5;3180;34.1;16.1;18;587;587;2;12;;3.6;9.55;11.92857143;32.76428571;31.57142857;3.6;3.6;0.792857143;2.578571429;0;14;;3.36;8.913333333;11.13333333;37.24666667;29.46666667;3.36;3.36;0.74;2.406666667;0;15
Bam;Iran;3;29º07´N;58º19´E;1061;23.1;2772;33.6;10.7;22.9;445;479;59;12;;2;4;21.49;23.16;34.82;0;3.33;11.16;0;0;10;;1.666666667;3.333333333;17.90833333;24.85;34.56666667;0;2.775;14.85;0;0;12
Faya.Largeau;Chad;3;17º55´N;19º06´E;245;28.3;3396;34;19.5;14.5;673;673;17;12;;0;0;16.66666667;66.66666667;16.66666667;0;0;0;0;0;3;;8.325;8.325;20.825;50;12.5;0;0;0;0;0;4
Mascate;Oman;3;23º37´N;58º35´E;4;28.5;3420;34.5;22;12.5;725;725;106;12;;5.08;11.74;18.4;21.74;28.4;5.08;5.08;2.22;2.22;0;5;;3.628571429;8.385714286;13.14285714;34.57142857;25.04285714;3.628571429;3.628571429;6.342857143;1.585714286;0;7
Smara;Morocco;3;26º44´N;11º26´W;140;21.7;2604;27.7;14.8;12.9;513;513;36;12;;3.571428571;8.328571429;8.328571429;35.71428571;44.04285714;0;0;0;0;0;7;;5.83;9.16;9.16;35;35.83;0;0;5;0;0;10
Tamanrasset;Algeria;3;22º44´N;5º36´E;1320;21.2;2544;28.5;11.7;16.8;446;446;43;12;;0;4.1625;8.325;47.9125;39.575;0;0;0;0;0;8;;0;4.1625;8.325;47.9125;39.575;0;0;0;0;0;8
Aleppo;Syria;4;36º11´N;37º13´E;395;17.3;2076;28.4;6.1;22.3;295;323;341;6.8;;1.20952381;3.747619048;6.920634919;5.334920633;39.61111111;2.4;17.23333333;11.95238095;9.414285714;2.142857143;21;;1.016;3.148;5.813333332;5.813333332;37.60533333;5.016;17.476;14.372;7.908;1.8;25
Esfahan;Iran;4;32º37´N;51º40´E;1598;16.1;1932;29.4;3.6;25.8;233;296;301;7.4;;1.636842105;2.689473684;7.510526316;11.9;41.27894737;0.584210526;10.66842105;16.10526316;6.284210526;1.315789474;19;;1.555;2.555;7.135;12.97;40.88;0.555;10.135;16.965;5.97;1.25;20
Port.St.Louis.du.Rhones;France;4;43º28´N;4º46´E;2;14.2;1704;23;6.2;16.8;266;266;620;3.9;;0;0;0;0;32.49;0;32.49;10.83;24.16;0;10;;0.841176471;0.841176471;0.841176471;0.841176471;28.48235294;1.470588235;35.83529412;11.32941176;16.85882353;2.647058824;17
Potenza;Italy;4;40º38´N;15º46´E;823;12.4;1488;21.6;3.8;17.8;200;200;799;2;;1.7875;1.7875;1.7875;1.7875;19.4875;4.9125;29.9;12.5;21.8625;4.1625;8;;1.682352941;1.682352941;1.682352941;1.682352941;30.30588235;5.252941176;29.32352941;12.31176471;12.93529412;3.135294118;17
Sanlucar.de.Barrameda;Spain;4;36º47´N;6º21´W;30;16.9;2028;24.5;10.3;14.2;375;375;479;5.3;;2.822222222;2.822222222;2.822222222;2.822222222;34.3;5.6;23.18888889;9.566666667;16.04444444;0;9;;2.835714286;2.835714286;2.835714286;2.835714286;35.21428571;3.6;28.07142857;8.6;11.74285714;1.428571429;14
Tripoli;Greece;4;37º31´N;22º21´E;661;13.7;1644;23.1;5.3;17.8;243;243;932;3.2;;1.7875;1.7875;1.7875;1.7875;29.275;4.9125;29.275;13.95;12.9125;2.5;8;;1.191666667;1.191666667;1.191666667;1.191666667;27.43333333;9.525;27.43333333;17.21666667;10.275;3.333333333;12
Tunis;Tunisia;4;36º50´N;10º14´E;3;18.5;2220;26.7;11;15.7;404;404;860;4.9;;3.876923077;3.876923077;6.438461538;16.05384615;58.36153846;1.953846154;3.876923077;2.776923077;2.776923077;0;13;;3.594444444;3.594444444;5.444444444;17.94444444;51.27777778;1.411111111;9.15;5.577777778;2.005555556;0;18
Batumi;Georgia;5;41º37´N;41º38´E;3;14.2;1704;22.2;6.3;15.9;268;268;2393;0;;0.69375;0.69375;0.69375;0.69375;20.0625;10.5875;29.95625;15.89375;15.38125;5.3125;16;;0.426923077;0.426923077;0.426923077;0.426923077;18.75769231;18.05384615;28.05;18.43461538;11.06923077;3.911538462;26
Duyun;China;5;26º13´N;107º28´E;800;16.9;2028;25.8;6.6;19.2;301;307;1224;0;;17.73333333;28.08484848;2.284848485;0.76969697;0.76969697;25.81212121;15.61515152;3.315151515;5.587878788;0;33;;17.3375;25.67;2.51;0.635;0.635;28.3775;16.84;2.735;5.235;0;40
Foochow;China;5;26º05´N;119º18´E;88;19.8;2376;28.5;10.7;17.8;412;412;1390;0;;10.8;27.95294118;4.435294118;1.494117647;2.964705882;29.42352941;14.72352941;2.611764706;5.552941176;0;17;;11.12380952;25.00952381;4.780952381;1.20952381;2.4;33.34285714;15.49047619;2.114285714;4.495238095;0;21
Kagoshima;Japan;5;31º34´N;130º33´E;4;16.8;2016;27.1;6.6;20.5;300;313;2337;0;;4.891666667;2.116666667;2.116666667;2.116666667;4.2;32.25;36.41666667;2.591666667;11.61666667;1.666666667;12;;3.452941176;1.494117647;1.494117647;1.494117647;2.964705882;35.70588235;34.72352941;3.005882353;11.33529412;4.311764706;17
Pingnan;China;5;23º23´N;110º03´E;39;22;2640;29;12;17;460;460;1760;0;;17.32857143;37.56428571;4.364285714;0.792857143;0.792857143;26.85;6.385714286;3.65;2.221428571;0;14;;17.21176471;36.81764706;5.064705882;0.652941176;0.652941176;27.99411765;6.729411765;3.005882353;1.829411765;0;17
Shangrao;China;5;28º26´N;117º56´E;70;18.3;2196;29.1;6.5;22.6;313;344;1755;0;;11.83181818;22.81363636;1.154545455;1.154545455;1.154545455;26.22272727;22.28636364;4.972727273;8.381818182;0;22;;11.08214286;21.49642857;1.8;0.907142857;0.907142857;30.72142857;21.37857143;5.096428571;6.585714286;0;28
Shaoguan;China;5;24º48´N;113º35´E;156;21;2520;30.1;10.7;19.4;424;431;1499;0;;16.1;37.89230769;4.7;0.853846154;0.853846154;26.35384615;6.876923077;3.930769231;2.392307692;0;13;;16.20625;37.0375;5.38125;0.69375;0.69375;27.6625;7.15;3.19375;1.94375;0;16
Angoulème;France;6;44º53´N;0º28´W;100;12.1;1452;19.6;4.6;15;213;213;875;0;;1.693333333;1.693333333;1.693333333;1.693333333;14.46666667;3.36;35.57333333;9.626666667;25.73333333;4.44;15;;1.588;1.588;1.588;1.588;16.052;4.016;39.048;10.148;18.572;5.796;25
Belgrade;Serbia;6;44º48´N;20º28´E;132;12.1;1449;22.6;-0.2;22.8;118;150;701;0;;1.588888889;1.588888889;1.588888889;1.588888889;21.94444444;4.366666667;31.2;6.477777778;25.91111111;3.7;9;;0.953333333;0.953333333;0.953333333;0.953333333;19.5;4.286666667;35.60666667;8.553333333;20.76666667;7.44;15
Blagoveschenks;Russia;6;50º15´N;106º30´E;142;1.1;892;21.7;-23.3;45;-455;-20;483;0;;0.74;0.74;0.74;0.74;4.626666667;4.073333333;25.18;14.62666667;45.18;3.333333333;15;;0.528571429;0.528571429;0.528571429;0.528571429;3.304761905;4.495238095;25.12380952;13.61904762;44.96666667;6.347619048;21
Moscow;Russia;6;55º45´N;37º34´E;156;4.5;884;17.9;-12.8;30.7;210;-63;624;0;;1.27;1.27;1.27;1.27;15.845;3.77;32.925;10.135;28.88;3.33;20;;0.976923077;0.976923077;0.976923077;0.976923077;13.91923077;2.9;34.42692308;10.48846154;27.46923077;6.853846154;26
Seoul;Korean;6;37º33´N;126º58´E;38;11.9;1576;25.9;-3.7;29.6;45;172;1373;0;;3.492307692;3.492307692;1.953846154;1.953846154;4.515384615;5.415384615;41.30769231;14.56923077;23.28461538;0;13;;2.522222222;2.522222222;1.411111111;1.411111111;3.261111111;8.538888889;41.86666667;12.37222222;21.44444444;4.627777778;18
Tsingtao;China;6;36º04´N;120º19´E;77;12.3;1476;25.1;0.1;25;125;180;647;0;;1.3875;5.55;1.3875;1.3875;4.5125;11.8;39.925;20.1375;10.7625;3.125;8;;1.009090909;4.036363636;1.009090909;1.009090909;3.281818182;11.60909091;41.15454545;26.76363636;7.827272727;2.272727273;11
Vlissingen;Netherlands;6;51º27´N;3º36´E;12;9.9;1188;17.4;2.9;14.5;157;157;689;0;;2.116666667;2.116666667;2.116666667;2.116666667;11.14166667;4.2;31.96666667;5.091666667;30.775;8.325;12;;1.411111111;1.411111111;1.411111111;1.411111111;14.09444444;2.8;36.77222222;5.894444444;24.86666667;9.9;18
Almaty;Kazakhstan;7;43º16´N;76º53´E;775;6.8;1064;21.4;-9.4;30.8;-121;31;597;2.3;;0.346875;0.971875;2.0125;3.575;9.040625;1.128125;12.58125;61.64375;5.8125;2.8625;32;;0.2775;0.7775;1.61;3.6925;9.19;1.5275;11.815;60.6475;7.025;3.415;40
Astrakhan;Russia;7;46º21´N;48º02´E;-25;10;1327;25.1;-5.6;30.7;-12;137;217;6.3;;0;0;2.561538462;0;8.969230769;0;10.25384615;78.2;0;0;13;;0;0;2.561538462;0;8.969230769;0;10.25384615;78.2;0;0;13
Fort.Schevchenko;Kazakhstan;7;44º33´N;50º17´E;23;11.1;1372;25.8;-3.6;29.4;39;162;130;7.7;;0.504545455;0.504545455;2.018181818;4.290909091;9.590909091;0.504545455;12.62272727;69.44090909;0.504545455;0;22;;0.976923077;0.976923077;2.257692308;6.742307692;11.22692308;0.426923077;11.23076923;65.71538462;0.426923077;0;26
Lhasa;Tibet;7;29º40´N;91º10´E;3656;7.9;975;15.9;-1.8;17.7;43;43;438;5.2;;1.85;1.85;1.85;1.85;1.85;1.85;1.85;85.18333333;1.85;0;6;;1.85;1.85;1.85;1.85;1.85;1.85;1.85;85.18333333;1.85;0;6
Paotou;China;7;40º34´N;109º50´E;1044;6.4;1095;22.7;-11.8;34.5;-172;53;304;1.2;;0.528571429;0.528571429;0.528571429;0.528571429;0.528571429;0.528571429;11.63809524;83.06666667;2.114285714;0;21;;0.482608696;0.482608696;0.482608696;1.930434783;3.017391304;1.569565217;11.71304348;78.37826087;1.930434783;0;23
Turgay;Russia;7;49º37´N;63º29´E;99;4.9;1125;25;-15.5;40.5;-261;84;220;6;;0;0;0;0;5.357142857;0;22.02142857;64.87857143;7.735714286;0;14;;0;0;0;2.08125;8.33125;1.5625;20.83125;60.4125;6.76875;0;16
Urumchi;China;7;43º47´N;87º37´E;912;5.3;1163;23.9;-15.8;39.7;-263;66;276;4.7;;1.009090909;1.009090909;1.009090909;4.036363636;4.036363636;1.009090909;11.60909091;72.21818182;4.036363636;0;11;;0.853846154;0.853846154;0.853846154;5.976923077;5.976923077;0.853846154;9.823076923;67.51538462;7.261538462;0;13
Dudinka;Russia;8;69º24´N;86º11´E;20;-10.2;333;13.8;-28.4;42.2;-670;-291;399;0;;0;0;0;0;2.777777778;0;12.03333333;2.777777778;50.92222222;31.47777778;9;;0;0;0;0;1.666666667;0;14.99333333;3.886666667;51.66;27.77333333;15
Erbogachen;Russia;8;61º16´N;108º01´E;287;-6.7;544;17;-31.2;48.2;-691;-170;323;0;;1.3875;1.3875;1.3875;1.3875;8.675;1.3875;19.0875;4.5125;50.3375;10.4125;8;;0.74;0.74;0.74;0.74;4.626666667;0.74;21.28666667;4.626666667;51.28666667;14.44;15
Kajaani; Finland;8;64º17´N;27º41´E;134;1.9;606;16.1;-10.6;26.7;-193;-121;564;0;;1.009090909;1.009090909;1.009090909;1.009090909;8.581818182;3.281818182;28.27272727;3.281818182;46.45454545;6.054545455;11;;0.652941176;0.652941176;0.652941176;0.652941176;6.729411765;2.123529412;26.81764706;6.729411765;44.46470588;10.48235294;17
Nikolaevsk.na.Amure;Russia;8;53º08´N;140º45´E;21;-3.3;558;15.3;-25.3;40.6;-539;-192;447;0;;2.591666667;2.591666667;0.925;0.925;5.783333333;4.675;17.16666667;5.366666667;48.83333333;11.10833333;12;;1.636842105;1.636842105;0.584210526;0.584210526;3.652631579;2.952631579;22.24210526;5.142105263;50.13684211;11.4;19
Petropavlosk;Russia;8;52º53´N;158º42´E;87;1.4;486;13.1;-8.6;21.7;-159;-137;912;0;;0;0;0;0;6.66;0;13.32;0;43.32;36.66;5;;0;0;0;0;3.33;0;18.32;3.33;53.32;21.66;10
Serov;Russia;8;59º36´N;60º32´E;132;0;637;16.7;-16.9;33.6;-338;-131;446;0;;0.652941176;0.652941176;0.652941176;0.652941176;5.552941176;3.594117647;27.11764706;5.064705882;47.70588235;8.329411765;17;;0.411111111;0.411111111;0.411111111;0.411111111;5.162962963;2.262962963;28.92222222;7.014814815;43.73703704;11.22962963;27
Yakutsk;Russia;8;62º04´N;129º39´E;95;-10.2;602;18.5;-41;59.5;-922;-62;246;0;;0;0;0;0;4.484615385;0;21.14615385;18.58461538;46.78461538;8.969230769;13;;0;0;0;0;2.915;0;22.075;13.745;48.74;12.495;20
Bulun;Russia;9;70º45´N;127º47´E;35;-15.2;267;10.8;-40.8;51.6;-968;-343;224;0;;0;0;0;0;0;0;4.1625;4.1625;39.575;52.075;8;;0;0;0;0;0;0;9.081818182;6.054545455;39.38181818;45.44545455;11
Dikson;Russia;9;73º30´N;80º31´E;26;-12;95;4.4;-26.9;31.3;-658;-497;366;0;;0;0;0;0;0;0;0;0;25;75;2;;0;0;0;0;0;0;0;0;25;75;2
Mayle.Karmaerly;Russia;9;72º23´N;55º44´E;16;-5.7;168;6.4;-15.4;21.8;-365;-342;317;0;;0;0;0;0;0;0;0;0;25;75;2;;0;0;0;0;0;0;0;0;25;75;2
Mys.Chelyuskin;Russia;9;77º43´N;104º17´E;6;-15.6;14;0.8;-31.1;31.9;-778;-605;232;0;;0;0;0;0;0;0;0;0;25;75;2;;0;0;0;0;0;0;0;0;33.33333333;66.66666667;3
Mys.Schmidt;Russia;9;68º55´N;179º17´E;6;-12.1;77;3.6;-27.3;30.9;-667;-514;296;0;;0;0;0;0;0;0;8.325;0;33.325;58.325;4;;0;0;0;0;0;0;5.55;0;38.88333333;55.55;6
Nizhne.Kolmsk;Russia;9;68º32´N;160º59´E;4;-14.4;272;10.6;-40.6;51.2;-955;-347;175;0;;0;0;0;0;0;0;4.1625;4.1625;45.825;45.825;8;;0;0;0;0;0;0;8.325;5.55;44.43333333;41.65833333;12
Sabetta;Russia;9;71º15´N;72º06´E;5;-10.1;169;7;-25.1;32.1;-603;-426;273;0;;0;0;0;0;0;0;0;8.325;33.325;58.325;4;;0;0;0;0;0;0;0;6.66;36.66;56.66;5
